Locality,AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age
ALEXANDRA HEADLAND,D         ,Leo,MALTESEX  ,MALTES,TriColour ,Y,M,4
ALEXANDRA HEADLAND,D         ,Buster,GERMNSHEP ,GERMNS,BlackTan  ,Y,M,4
ALEXANDRA HEADLAND,Cat       ,Cobi,TURKISHVAN,TURKIS,WhiteGing ,Y,M,8
ALEXANDRA HEADLAND,D         ,Tori,POODLE    ,POODLE,Black     ,Y,F,5
ALEXANDRA HEADLAND,Cat       ,Arnold,DOMMH     ,DOMMH ,GreyWhite ,Y,M,8
ALEXANDRA HEADLAND,D         ,Kit,CAVOODLE  ,CAVOOD,Ruby      ,N,F,3
ALEXANDRA HEADLAND,D         ,Ruggles,CAVOODLE  ,CAVOOD,Caramel   ,Y,M,9
ALEXANDRA HEADLAND,D         ,Peppa,POODLEMIN ,POODLE,Apricot   ,Y,M,5
ALEXANDRA HEADLAND,D         ,Arnie,RETRIEVERX,RETRIE,TanBlack  ,Y,M,4
ALEXANDRA HEADLAND,D         ,Benji,MALTESE   ,MALTES,BeigeWhite,Y,F,3
ALEXANDRA HEADLAND,D         ,Scooby,JACKRUSSLX,JACKRU,WhiteTan  ,Y,M,4
ALEXANDRA HEADLAND,D         ,Molly,SHIHTZUX  ,SHIHTZ,GreyWhite ,Y,F,11
ALEXANDRA HEADLAND,D         ,Opal,COLLBORDR ,COLLBO,BlackWhite,Y,F,3
ALEXANDRA HEADLAND,D         ,Coco,DACHSHUNDM,DACHSH,Black     ,Y,F,10
ALEXANDRA HEADLAND,D         ,Vincent,LABRADOR  ,LABRAD,Yellow    ,N,M,11
ALEXANDRA HEADLAND,D         ,Rocket,BICHONFRSX,BICHON,WhiteApric,Y,M,4
ALEXANDRA HEADLAND,D         ,Rio,MALTESE   ,MALTES,WhiteCream,Y,M,4
ALEXANDRA HEADLAND,D         ,Frankie,STAFFRDBTX,STAFFR,Brindle   ,Y,F,3
ALEXANDRA HEADLAND,D         ,Harvey,MOODLE    ,MOODLE,Black     ,Y,M,4
ALEXANDRA HEADLAND,D         ,Scarlett,COLLBORDR ,COLLBO,BlackWhite,Y,F,9
ALEXANDRA HEADLAND,D         ,Zeeva,FOXTERRMN ,FOXTER,WhiteTan  ,Y,F,3
ALEXANDRA HEADLAND,Cat       ,Frankie,DOMSH     ,DOMSH ,Tabby     ,Y,M,3
ALEXANDRA HEADLAND,Cat       ,LaLa,DOMLH     ,DOMLH ,Grey      ,Y,F,6
ALEXANDRA HEADLAND,D         ,Diesel,STAFFRDBT ,STAFFR,Fawn      ,Y,M,4
ALEXANDRA HEADLAND,D         ,Mike,MALTESEX  ,MALTES,BlackWhite,Y,M,3
ALEXANDRA HEADLAND,D         ,Milly,MALTESEX  ,MALTES,BlackWhite,Y,F,3
ALEXANDRA HEADLAND,Cat       ,Tia,DOMSH     ,DOMSH ,Ginger    ,Y,F,7
ALEXANDRA HEADLAND,D         ,Milly,MALTESEX  ,MALTES,WhiteBlack,Y,F,5
ALEXANDRA HEADLAND,D         ,Tessa,STAFFRDBT ,STAFFR,Tan       ,Y,F,4
ALEXANDRA HEADLAND,D         ,Nigel,CAVOODLE  ,CAVOOD,WhiteApric,Y,M,6
ALEXANDRA HEADLAND,D         ,Angelica,SHARPEIX  ,SHARPE,Black     ,Y,F,3
ALEXANDRA HEADLAND,D         ,BELLA,SPOODLE   ,SPOODL,GoldWhite ,Y,F,3
ALEXANDRA HEADLAND,D         ,POPPY,SHIHTZUX  ,SHIHTZ,Tan       ,Y,F,3
ALEXANDRA HEADLAND,D         ,Molly,MALTESEX  ,MALTES,WhiteCream,Y,F,14
ALEXANDRA HEADLAND,D         ,Charlie,MALTESEX  ,MALTES,White     ,Y,M,7
ALEXANDRA HEADLAND,D         ,Zippa,COLLBORDRX,COLLBO,BlackWhite,Y,F,3
ALEXANDRA HEADLAND,Cat       ,Molly,RAGDOLL   ,RAGDOL,Black     ,Y,F,11
ALEXANDRA HEADLAND,Cat       ,Asha,RAGDOLL   ,RAGDOL,Grey      ,Y,F,10
ALEXANDRA HEADLAND,Cat       ,Emi,RAGDOLL   ,RAGDOL,CreamBrown,Y,F,3
